event,scfc_sim,scfc_seq
event_0,0.0,0.0
event_1,0.0,0.0
event_2,0.0,0.0
event_3,0.0,0.0
event_4,0.0,0.0
event_5,0.0,0.0
event_6,0.0,0.0
event_7,0.0,0.0
event_8,0.0,0.0
event_9,0.0,0.0
event_10,0.0,0.0
event_11,0.0,0.0
event_12,0.0,0.0
event_13,0.0,0.0
event_14,0.0,0.0
event_15,0.0,0.0
event_16,0.0,0.0
event_17,0.0,0.0
event_18,0.0,0.0
event_19,0.0,0.0
event_20,0.0,0.0
event_21,0.0,0.0
event_22,0.0,0.0
event_23,0.0,0.0
event_24,0.0,0.0
event_25,0.0,0.0
event_26,0.0,0.0
event_27,0.0,0.0
event_28,0.0,0.0
event_29,0.0,0.0
event_30,0.0,0.0
event_31,0.0,0.0
event_32,0.0,0.0
event_33,0.0,0.0
event_34,0.0,0.0
event_35,0.0,0.0
event_36,0.0,0.0
event_37,0.0,0.0
event_38,0.0,0.0
event_39,0.0,0.0
event_40,0.0,0.0
event_41,0.0,0.0
event_42,0.0,0.0
event_43,0.0,0.0
event_44,0.0,0.0
event_45,0.0,0.0
event_46,0.0,0.0
event_47,0.0,0.0
event_48,0.0,0.0
event_49,0.0,0.0
event_50,0.0,0.0
event_51,0.0,0.0
event_52,0.0,0.0
event_53,0.0,0.0
event_54,0.0,0.0
event_55,0.0,0.0
event_56,0.0,0.0
event_57,0.0,0.0
event_58,0.0,0.0
event_59,0.0,0.0
event_60,0.0,0.0
event_61,0.0,0.0
event_62,0.0,0.0
event_63,0.0,0.0
event_64,0.0,0.0
event_65,0.0,0.0
event_66,0.0,0.0
event_67,0.0,0.0
event_68,0.0,0.0
event_69,0.0,0.0
event_70,0.0,0.0
event_71,0.0,0.0
event_72,0.0,0.0
event_73,0.0,0.0
event_74,0.0,0.0
event_75,0.0,0.0
event_76,0.0,0.0
event_77,0.0,0.0
event_78,0.0,0.0
event_79,0.0,0.0
event_80,0.0,0.0
event_81,0.0,0.0
event_82,0.0,0.0
event_83,0.0,0.0
event_84,0.0,0.0
event_85,0.0,0.0
event_86,0.0,0.0
event_87,0.0,0.0
event_88,0.0,0.0
event_89,0.0,0.0
event_90,0.0,0.0
event_91,0.0,0.0
event_92,0.0,0.0
event_93,0.0,0.0
event_94,0.0,0.0
event_95,0.0,0.0
event_96,0.0,0.0
event_97,0.0,0.0
event_98,0.0,0.0
event_99,0.0,0.0
event_100,0.0,0.0
event_101,0.0,0.0
event_102,0.0,0.0
event_103,0.0,0.0
event_104,0.0,0.0
event_105,0.0,0.0
event_106,0.0,0.0
event_107,0.0,0.0
event_108,0.0,0.0
event_109,0.0,0.0
event_110,0.0,0.0
event_111,0.0,0.0
